generated_at_utc,mode,telemetry_source,events_total,changed_events,unchanged_events,luna_calls,terra_calls,sol_calls,estimated_input_tokens,estimated_output_tokens,estimated_cost_usd,projected_calls_per_day_if_all_changed,projected_cost_per_day_if_all_changed_usd,pricing_as_of
2026-09-17T22:26:04.845558+00:00,DRY_RUN_NO_NETWORK,legacy_unspecified,6,6,0,4,1,1,4218,2300,0.027301,36,0.163806,2026-09-17
2026-09-17T22:29:42.848958+00:00,DRY_RUN_NO_NETWORK,legacy_unspecified,6,6,0,4,1,1,4221,2300,0.027305,36,0.163832,2026-09-17
2026-09-17T22:35:32.766943+00:00,DRY_RUN_NO_NETWORK,,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-17T22:35:53.664228+00:00,DRY_RUN_NO_NETWORK,local_manual,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-17T23:54:12.700448+00:00,DRY_RUN_NO_NETWORK,schedule,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-17T23:56:16.871904+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-17T23:58:53.923677+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:04:59.404835+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:10:42.850157+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:31:00.987576+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:31:46.251231+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:36:37.679819+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:37:45.091108+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:42:11.313681+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:46:19.924566+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:48:53.845889+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:50:12.712171+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T00:50:46.582747+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T01:10:47.414264+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T01:13:53.994026+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T01:31:28.141684+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T01:43:59.324804+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T02:17:21.020213+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T04:02:19.373457+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T05:31:04.844235+00:00,DRY_RUN_NO_NETWORK,schedule,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T08:36:39.321591+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T09:08:52.663034+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T09:10:00.885265+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-18T09:14:42.230049+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-19T00:09:39.605487+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-19T01:10:37.740666+00:00,DRY_RUN_NO_NETWORK,schedule,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-19T08:56:31.409070+00:00,DRY_RUN_NO_NETWORK,schedule,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-19T18:08:26.208855+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
2026-09-19T18:11:45.260307+00:00,DRY_RUN_NO_NETWORK,push,6,0,6,0,0,0,0,0,0.000000,36,0.163832,2026-09-17
