result_id,settled_at_pt,sport,league,event_id,prediction_id,actual_result,grade,closing_threshold,closing_price,source
SETTLE-NFL-DETBUF-GIBBS-TD,2026-09-17T20:55:08.966589-07:00,Football,NFL,DET-BUF-20260917,NFL-DETBUF-GIBBS-TD,1,WIN,,-330,STATSHawk:cst_06g8h7na0ny155r3taa6txwn0r:BOX_SCORE
SETTLE-NFL-DETBUF-GOFF-U2705,2026-09-17T20:55:08.966589-07:00,Football,NFL,DET-BUF-20260917,NFL-DETBUF-GOFF-U2705,327,LOSS,270.5,,STATSHawk:cst_06g8h7na0ny155r3taa6txwn0r:BOX_SCORE
SETTLE-NFL-DETBUF-JW-U595,2026-09-17T20:55:08.966589-07:00,Football,NFL,DET-BUF-20260917,NFL-DETBUF-JW-U595,33,WIN,59.5,,STATSHawk:cst_06g8h7na0ny155r3taa6txwn0r:BOX_SCORE
SETTLE-NFL-DETBUF-COOK-TD,2026-09-17T20:58:00-07:00,Football,NFL,DET-BUF-20260917,NFL-DETBUF-COOK-TD,1,WIN,,-170,STATSHawk:cst_06g8h7na0ny155r3taa6txwn0r:BOX_SCORE
SETTLE-NCAA-HOU-TTU-WEIGMAN-200,2026-09-18T22:27:41.497538-07:00,Football,NCAA_Football,HOU-TTU-20260918,NCAA-HOU-TTU-WEIGMAN-200,282,WIN,200+,-201,ESPN_PUBLIC:401856811:BOX_SCORE
SETTLE-NCAA-MIA-WF-TONEY-TD,2026-09-18T22:27:41.497538-07:00,Football,NCAA_Football,MIA-WF-20260918,NCAA-MIA-WF-TONEY-TD,1,WIN,,-250,ESPN_PUBLIC:401858226:BOX_SCORE
SETTLE-NCAA-UGA-ARK-FRAZIER-TD,2026-09-19T12:36:20.279291-07:00,Football,NCAA_Football,UGA-ARK-20260919,NCAA-UGA-ARK-FRAZIER-TD,1,WIN,,-320,ESPN_PUBLIC:401856686:BOX_SCORE
SETTLE-NCAA-FSU-BAMA-KROMAH-60,2026-09-19T18:12:05.936620-07:00,Football,NCAA_Football,FSU-BAMA-20260919,NCAA-FSU-BAMA-KROMAH-60,80,WIN,60+,-123,ESPN_PUBLIC:401856685:BOX_SCORE
SETTLE-NCAA-USC-RUT-MILLER-TD,2026-09-19T18:12:05.936620-07:00,Football,NCAA_Football,USC-RUT-20260919,NCAA-USC-RUT-MILLER-TD,1,WIN,,-275,ESPN_PUBLIC:401858457:BOX_SCORE
SETTLE-SUG-03b1f31cd1d35ab96f913546,2026-09-23T20:04:12.588198-07:00,MLB,MLB,401817054,SUG-03b1f31cd1d35ab96f913546,0,LOSS,,,ESPN_PUBLIC:401817054:FINAL_SCORE_ML
SETTLE-SUG-03d3710f4cab0b46713494f6,2026-09-23T20:04:12.588198-07:00,MLB,MLB,KXMLBHR-26SEP231905TBNYY,SUG-03d3710f4cab0b46713494f6,1,WIN,,,ESPN_PUBLIC:401817049:FINAL_SCORE_ML
SETTLE-SUG-03dc8ba17e0781b49e279334,2026-09-23T20:04:12.588198-07:00,MLB,MLB,KXMLBHR-26SEP231940MIACHC,SUG-03dc8ba17e0781b49e279334,0,LOSS,,,ESPN_PUBLIC:401817053:FINAL_SCORE_ML
SETTLE-SUG-0757f4e89d17d948d850c253,2026-09-23T20:04:12.588198-07:00,WNBA,WNBA,PL-231732,SUG-0757f4e89d17d948d850c253,8,LOSS,,,ESPN_PUBLIC:401857213:BOX_SCORE
SETTLE-SUG-07e9e4bc221e4d1355004d34,2026-09-23T20:04:12.588198-07:00,NHL,NHL,2026010034,SUG-07e9e4bc221e4d1355004d34,1,WIN,,,ESPN_PUBLIC:401886429:FINAL_SCORE_ML
SETTLE-SUG-08b196181fde1413858e2846,2026-09-23T20:04:12.588198-07:00,WNBA,WNBA,PL-231732,SUG-08b196181fde1413858e2846,16,WIN,,,ESPN_PUBLIC:401857213:BOX_SCORE
SETTLE-SUG-0c21748ab3705fb910f7059f,2026-09-23T20:04:12.588198-07:00,WNBA,WNBA,PL-231732,SUG-0c21748ab3705fb910f7059f,4,WIN,,,ESPN_PUBLIC:401857213:BOX_SCORE
