snapshot_id,collected_at_pt,sport,league,event_id,event_start_utc,venue,venue_city,venue_state,venue_indoor,latitude,longitude,weather_time_utc,source,observation_type,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation_probability,precipitation,rain,snowfall,weather_code,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m
OPEN_METEO-FORECAST-401872948-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872948,2026-09-25T00:15:00+00:00,Lambeau Field,Green Bay,WI,False,44.51916,-88.01983,2026-09-25T00:00Z,OPEN_METEO_FORECAST,FORECAST,57.7,55.4,79,6,0.0,0.0,0.0,0,1001.8,6.4,100,6.3
OPEN_METEO-FORECAST-401817070-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817070,2026-09-25T01:40:00+00:00,Sutter Health Park,Sacramento,California,False,38.58157,-121.4944,2026-09-25T02:00Z,OPEN_METEO_FORECAST,FORECAST,82.6,75.8,20,0,0.0,0.0,0.0,3,1005.7,9.1,197,20.1
OPEN_METEO-FORECAST-401817071-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817071,2026-09-25T02:10:00+00:00,Dodger Stadium,Los Angeles,California,False,34.05223,-118.24368,2026-09-25T02:00Z,OPEN_METEO_FORECAST,FORECAST,75.8,76.1,59,0,0.0,0.0,0.0,0,1001.0,7.7,234,4.7
OPEN_METEO-FORECAST-401872947-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872947,2026-09-22T00:15:00+00:00,SoFi Stadium,Inglewood,CA,False,33.96168,-118.35313,2026-09-22T00:00Z,OPEN_METEO_FORECAST,FORECAST,72.7,71.1,63,0,0.0,0.0,0.0,0,1005.4,11.2,254,5.8
OPEN_METEO-FORECAST-401873648-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401873648,2026-09-22T17:05:00+00:00,Yankee Stadium,Bronx,New York,False,40.93815,-73.83208,2026-09-22T17:00Z,OPEN_METEO_FORECAST,FORECAST,55.2,50.1,87,27,0.016,0.016,0.0,51,1023.6,13.2,55,15.4
OPEN_METEO-FORECAST-401817035-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817035,2026-09-22T22:35:00+00:00,Oriole Park at Camden Yards,Baltimore,Maryland,False,39.29038,-76.61219,2026-09-22T23:00Z,OPEN_METEO_FORECAST,FORECAST,59.6,56.6,92,44,0.008,0.004,0.0,51,1022.6,12.8,71,23.9
OPEN_METEO-FORECAST-401817032-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817032,2026-09-22T22:40:00+00:00,Citizens Bank Park,Philadelphia,Pennsylvania,False,39.95238,-75.16362,2026-09-22T23:00Z,OPEN_METEO_FORECAST,FORECAST,56.0,52.1,93,38,0.028,0.028,0.0,53,1025.0,12.4,55,23.0
OPEN_METEO-FORECAST-401817033-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817033,2026-09-22T22:40:00+00:00,PNC Park,Pittsburgh,Pennsylvania,False,40.44062,-79.99589,2026-09-22T23:00Z,OPEN_METEO_FORECAST,FORECAST,62.8,61.7,92,50,0.016,0.0,0.0,51,996.1,11.0,108,27.7
OPEN_METEO-FORECAST-401817036-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817036,2026-09-22T22:40:00+00:00,Comerica Park,Detroit,Michigan,False,42.33143,-83.04575,2026-09-22T23:00Z,OPEN_METEO_FORECAST,FORECAST,57.6,54.3,85,22,0.0,0.0,0.0,3,1002.6,10.1,32,24.4
OPEN_METEO-FORECAST-401817031-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817031,2026-09-22T22:45:00+00:00,Fenway Park,Boston,Massachusetts,False,42.35843,-71.05977,2026-09-22T23:00Z,OPEN_METEO_FORECAST,FORECAST,55.5,47.1,57,10,0.0,0.0,0.0,3,1028.8,14.4,54,15.9
